node_id,direction,flow,node_name,topic,dynamic_topic,qos,retain,datatype,broker_name,broker_host,broker_port,disabled
hw_out_lights,PUBLISH,Android APP Bridge,Esecuzione Hardware,,yes,1,false,,domopi mqtt,192.168.1.20,1883,False
hw_in_lights,SUBSCRIBE,Android APP Bridge,Ascolto Hardware Reale,zigbee2mqtt/+,no,1,,auto-detect,domopi mqtt,192.168.1.20,1883,False
app_out_lights,PUBLISH,Android APP Bridge,Aggiorna Stato App (Retain),,yes,1,true,,domopi mqtt,192.168.1.20,1883,False
inbound_ai_state,SUBSCRIBE,Android APP Bridge,Ascolto Stato AI e TRV,casa/clima/stato_completo,no,1,,auto-detect,domopi mqtt,192.168.1.20,1883,False
ae105ac39cf8d437,SUBSCRIBE,Android APP Bridge,App -> Target VMC,alexa/vmc,no,1,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
bc94f80f947a2d8c,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/livinglamp,no,2,,,domopi mqtt,192.168.1.20,1883,False
f13717d8ae984865,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/shelflamp,no,2,,,domopi mqtt,192.168.1.20,1883,False
f86a7cc8da46c17c,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/tvlamp,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
ffb89f556b69bad9,SUBSCRIBE,Android APP Bridge,,shellies/shelly1-771284/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
d80b504c3542ed41,SUBSCRIBE,Android APP Bridge,,shellies/shelly1-B92AF0/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
9d345c39c11d08e0,SUBSCRIBE,Android APP Bridge,,shellies/shelly1-B8C284/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
7ac055f1194b954f,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poollight,no,2,,,domopi mqtt,192.168.1.20,1883,False
12ce2a07cacee23c,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poolfloor,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
127d0632ac89c84f,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poolskimmer,no,2,,,domopi mqtt,192.168.1.20,1883,False
ee0b6b372d422913,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poolpump,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
6900d290267e5b2b,SUBSCRIBE,Android APP Bridge,App -> Comando Scene Luci,zara/android/domotica/scene/set,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
8a31cf269cb50bd6,SUBSCRIBE,Android APP Bridge,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
79b18325390859ee,SUBSCRIBE,Android APP Bridge,MQTT SOC Batt,TeslaPowerwall/SOE,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
251eb9fa94e68b82,SUBSCRIBE,Android APP Bridge,MQTT Potenza Casa (Load W),TeslaPowerwall/load_instant_power,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
1796015fc377fc15,SUBSCRIBE,Android APP Bridge,MQTT Potenza Produzione FV (FV W),TeslaPowerwall/solar_instant_power,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
3a1687834f97dcc0,SUBSCRIBE,Android APP Bridge,MQTT temperatura living,emon/emonth5/temperature_calibrated,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
1abcd43bb0caf145,SUBSCRIBE,Android APP Bridge,,zigbee2mqtt/TU-cucinaEsterno,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
878f81d62bc42fe1,SUBSCRIBE,Android APP Bridge,,emon/resolDL2/sensor2,no,2,,,emoncms mqtt,192.168.1.15,1883,False
0e3973ecc6e2a4b0,SUBSCRIBE,Android APP Bridge,,emon/resolDL2/sensor3,no,2,,,emoncms mqtt,192.168.1.15,1883,False
e6a84ff2c20ff624,SUBSCRIBE,Android APP Bridge,,emon/resolDL2/sensor1,no,2,,,emoncms mqtt,192.168.1.15,1883,False
f68a501926879a9b,SUBSCRIBE,Android APP Bridge,,emon/shellyACS/tempACS,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
4c7f5cd004f3b05c,SUBSCRIBE,Android APP Bridge,MQTT humidity living,emon/emonth5/humidity,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
d18ded1a6be37694,SUBSCRIBE,Android APP Bridge,MQTT Sonoff AirGuard TH esterno cucina,zigbee2mqtt/Sonoff AirGuard TH esterno cucina,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
78a377746af16450,PUBLISH,Android APP Bridge,,zara/domotics/modalitavacanza,no,0,true,,domopi mqtt,192.168.1.20,1883,False
68a51e52050bfcc2,PUBLISH,Android APP Bridge,,zara/domotics/luciECO,no,0,true,,domopi mqtt,192.168.1.20,1883,False
d7c4304da1eb87f3,PUBLISH,Android APP Bridge,,zara/domotics/luciPiscinaAuto,no,0,true,,domopi mqtt,192.168.1.20,1883,False
6232e0d219686299,SUBSCRIBE,Android APP Bridge,,zara/android/domotica/#,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
b2e51b1cae6471eb,PUBLISH,Android APP Bridge,,zara/domotics/ACAuto,no,0,true,,domopi mqtt,192.168.1.20,1883,False
4a56c5bdf2ff7f04,PUBLISH,Android APP Bridge,,casa/clima/cmnd/vmc_max_notte,no,,true,,domopi mqtt,192.168.1.20,1883,False
e7c88fdff8f2e145,PUBLISH,Android APP Bridge,,casa/clima/cmnd/AI_climate_enabling,no,,,,domopi mqtt,192.168.1.20,1883,False
4c10798673cc1165,SUBSCRIBE,Android APP Bridge,,casa/clima/cmnd/AI_climate_enabling,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
81c761fd020759e4,SUBSCRIBE,Android APP Bridge,,zara/domotics/modalitavacanza,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
c85cfb8e7c5106cf,SUBSCRIBE,Android APP Bridge,,zara/domotics/luciECO,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
0309941fbac047f4,SUBSCRIBE,Android APP Bridge,,zara/domotics/luciPiscinaAuto,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
15a65d96aa22110a,SUBSCRIBE,Android APP Bridge,,zara/domotics/ACAuto,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
588bcc62a39e06e9,SUBSCRIBE,Android APP Bridge,,casa/clima/stat/vmc_max_notte,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
8c073d7419d1dffd,PUBLISH,Android APP Bridge,Esecuzione Hardware,,yes,1,false,,domopi mqtt,192.168.1.20,1883,True
ba0948194022d617,SUBSCRIBE,Android APP Bridge,Ascolto Hardware Reale,zigbee2mqtt/+,no,1,,auto-detect,domopi mqtt,192.168.1.20,1883,False
e21a5bab7aaa539f,PUBLISH,Android APP Bridge,Aggiorna Stato App (Retain),,yes,1,true,,domopi mqtt,192.168.1.20,1883,False
ac1dc3384afb5a6b,SUBSCRIBE,Android APP Bridge,Ascolto Stato AI e TRV,casa/clima/stato_completo,no,1,,auto-detect,domopi mqtt,192.168.1.20,1883,False
5268685dd658fbe0,SUBSCRIBE,Android APP Bridge,App -> Target VMC,alexa/vmc,no,1,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
b49453f6cdbbab3d,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/livinglamp,no,2,,,domopi mqtt,192.168.1.20,1883,False
8e3fcbfc031083cc,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/shelflamp,no,2,,,domopi mqtt,192.168.1.20,1883,False
f169b915a19f8af6,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/tvlamp,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
118da562063f2d9a,SUBSCRIBE,Android APP Bridge,,shellies/shelly1-771284/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
3f0b0e50b51f8568,SUBSCRIBE,Android APP Bridge,,shellies/shelly1-B92AF0/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
e338f28f56433e4c,SUBSCRIBE,Android APP Bridge,,shellies/shelly1-B8C284/relay/0,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
c5fbbdc4bdf7fbe0,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poollight,no,2,,,domopi mqtt,192.168.1.20,1883,False
3174da2bdd10ea30,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poolfloor,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
3f8fefa8f0d98ffd,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poolskimmer,no,2,,,domopi mqtt,192.168.1.20,1883,False
04eee2d096fc8523,SUBSCRIBE,Android APP Bridge,,zara/domotics/lights/poolpump,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
30036127a21d4c88,SUBSCRIBE,Android APP Bridge,App -> Comando Scene Luci,zara/android/domotica/scene/set,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,True
c8bf45a2bc859241,SUBSCRIBE,Android APP Bridge,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
69d0e373d832b240,SUBSCRIBE,Android APP Bridge,MQTT SOC Batt,TeslaPowerwall/SOE,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
326768da85a5d990,SUBSCRIBE,Android APP Bridge,MQTT Potenza Casa (Load W),TeslaPowerwall/load_instant_power,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
6223c2899c0ae992,SUBSCRIBE,Android APP Bridge,MQTT Potenza Produzione FV (FV W),TeslaPowerwall/solar_instant_power,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
1c21da7cdc55c2ae,SUBSCRIBE,Android APP Bridge,MQTT temperatura living,emon/emonth5/temperature_calibrated,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
