category,topic,direction,flows,brokers,qos,retain,notes
VMC,/esp8266/brink/fanspeed,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Altro / da classificare,/esp8266/hitachiAC/command,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Luci,/esp8266/lightSensor_1/#,SUB(1),Light Sensors,domopi mqtt,2,,
Presenza,GiuseppeHomePresence,SUB(1) + PUB(2),OwnTracks | broadlink lights,domopi mqtt | emoncms mqtt,0 | 2,true,
Luci,LGtv/Toast/,SUB(1),broadlink lights,domopi mqtt,0,,
Luci,LGtv/power/,SUB(1),broadlink lights,domopi mqtt,0,,
Luci,LGtv/power/status,SUB(1) + PUB(1),broadlink lights,domopi mqtt,0,,
Energia e fotovoltaico,PWMController/value,PUB(1),Diverter,domopi mqtt,,,
Powerwall,TeslaPowerwall/SOE,SUB(3),AI climate | Android APP Bridge,emoncms mqtt,2,,
Powerwall,TeslaPowerwall/load_instant_power,SUB(3),AI climate | Android APP Bridge,emoncms mqtt,2,,
Powerwall,TeslaPowerwall/site_instant_power,SUB(2),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Powerwall,TeslaPowerwall/site_intant_power,SUB(1),Diverter,emoncms mqtt,2,,
Energia e fotovoltaico,TeslaPowerwall/solar_instant_power,SUB(3),AI climate | Android APP Bridge,emoncms mqtt,2,,
Alexa e voce,alexa/ac,PUB(1),Amazon Echo,emoncms mqtt,0,false,
Alexa e voce,alexa/caminetto,SUB(1) + PUB(1),Amazon Echo | Android APP Bridge,emoncms mqtt,0,false,
Alexa e voce,alexa/heatpump,PUB(1),Amazon Echo,emoncms mqtt,0,false,
Alexa e voce,alexa/resetCaminetto,PUB(1),Amazon Echo,emoncms mqtt,0,false,
Alexa e voce,alexa/vmc,SUB(2) + PUB(2),AI climate | Amazon Echo | Android APP Bridge,emoncms mqtt,0 | 1,false,
Comandi app,casa/clima/cmnd/+,SUB(1),AI climate,domopi mqtt,2,,
Comandi app,casa/clima/cmnd/AI_climate_enabling,SUB(3) + PUB(2),AI climate | Android APP Bridge,domopi mqtt,2,,
Comandi app,casa/clima/cmnd/deficit_tolerance_time,SUB(1),AI climate,domopi mqtt,1,,
Clima,casa/clima/cmnd/emergency_humidex_away,SUB(1),AI climate,domopi mqtt,1,,
Comandi app,casa/clima/cmnd/grace_mode_solar,SUB(1),AI climate,domopi mqtt,1,,
Comandi app,casa/clima/cmnd/min_off_time,SUB(1),AI climate,domopi mqtt,1,,
Comandi app,casa/clima/cmnd/min_run_time,SUB(1),AI climate,domopi mqtt,1,,
Clima,casa/clima/cmnd/target_humidex,SUB(1),AI climate,domopi mqtt,1,,
VMC,casa/clima/cmnd/vmc_max_notte,SUB(1) + PUB(2),AI climate | Android APP Bridge,domopi mqtt,1,true,
Diagnostica,casa/clima/log_eventi,SUB(1),AI climate,domopi mqtt,2,,
VMC,casa/clima/stat/vmc_max_notte,SUB(2),Android APP Bridge,domopi mqtt,2,,
Clima,casa/clima/stato_completo,SUB(3) + PUB(1),AI climate | Android APP Bridge,domopi mqtt,1 | 2,,
Termostati,cmnd/SmallBathroomThermostat/TEMPTARGETSET,SUB(1) + PUB(1),Dashboard Android App,domopi mqtt,2,true,
Termostati,cmnd/SmallBathroomThermostat/THERMOSTATMODESET,PUB(1),Dashboard Android App,domopi mqtt,,true,
Altro / da classificare,cmnd/tasmotaFrigorifero/PowerOnState,PUB(1),mqtt to emoncms,domopi mqtt,,,
Luci,cmnd/tasmota_86AD14/POWER,PUB(1),Dashboard Android App,emoncms mqtt,,true,
Termostati,cmnd/tasmota_F294D7/TEMPTARGETSET,SUB(1) + PUB(1),Dashboard Android App,domopi mqtt,2,true,
Termostati,cmnd/tasmota_F294D7/THERMOSTATMODESET,PUB(1),Dashboard Android App,domopi mqtt,,true,
Altro / da classificare,cmnd/tasmota_F32F4F/#,SUB(1),emoncms devices,domopi mqtt,2,,
Termostati,cmnd/tasmota_F32F4F/TEMPTARGETSET,SUB(1) + PUB(1),Dashboard Android App,domopi mqtt,2,true,
Termostati,cmnd/tasmota_F32F4F/THERMOSTATMODESET,PUB(1),Dashboard Android App,domopi mqtt,,true,
Impianti termici,emon/AC/ACstatus,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Diagnostica,emon/AC/HPstatus,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Clima,emon/AC/command,SUB(1) + PUB(2),AI climate,emoncms mqtt,2,true,
Clima,emon/AC/emeter_power,SUB(1),AI climate,emoncms mqtt,2,,
Impianti termici,emon/OTGcaldaia/flame,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Impianti termici,emon/OTGcaldaia/modulation,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Termostati,emon/TermostatLiving/Switch,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Termostati,emon/TermostatMainBathroom/Switch,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Altro / da classificare,emon/bagnoServizio/Switch,SUB(1),Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/bagnoServizio/humidity,PUB(1),ZigBee sensors,emoncms mqtt,2,true,
Sensori ambientali,emon/bagnoServizio/temperature,SUB(1) + PUB(1),Dashboard Android App | ZigBee sensors,emoncms mqtt,2,true,
Telecamere,emon/cameraMatrimoniale/humidex,SUB(1) + PUB(1),Android APP Bridge | Dashboard Android App,emoncms mqtt,2,,
Sensori ambientali,emon/cameraMatrimoniale/humidity,SUB(1) + PUB(1),Dashboard Android App | ZigBee sensors,emoncms mqtt,2,true,
