flow,node_id,node_type,node_name,topic_literal
Android APP Bridge,router_in_lights,function,Inbound Router Luci,/scene/set
Android APP Bridge,router_in_lights,function,Inbound Router Luci,shellies/shelly1-esterno/relay/0/command
Android APP Bridge,router_in_lights,function,Inbound Router Luci,zara/android/domotica
Android APP Bridge,router_in_lights,function,Inbound Router Luci,zigbee2mqtt/Luce_Cucina/set
Android APP Bridge,router_out_lights,function,Outbound Router Luci,shellies/shelly1-771284/relay/0
Android APP Bridge,router_out_lights,function,Outbound Router Luci,shellies/shelly1-B8C284/relay/0
Android APP Bridge,router_out_lights,function,Outbound Router Luci,shellies/shelly1-B92AF0/relay/0
Android APP Bridge,router_out_lights,function,Outbound Router Luci,shellies/shelly1-esterno
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/android/domotica/light/${targetDevice}/state
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/livinglamp
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/poolfloor
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/poollight
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/poolpump
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/poolskimmer
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/readinglight
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/shelflamp
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zara/domotics/lights/tvlamp
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zigbee2mqtt/Luce_Cucina
Android APP Bridge,router_out_lights,function,Outbound Router Luci,zigbee2mqtt/Luce_Libreria
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,${APP_BASE}/acsPufferTemp
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,${APP_BASE}/energy/battery
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,${APP_BASE}/energy/consumption
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,${APP_BASE}/energy/production
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,${APP_BASE}/pufferAltoTemp
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,${APP_BASE}/pufferBassoTemp
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,TeslaPowerwall/SOE
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,TeslaPowerwall/load_instant_power
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,TeslaPowerwall/solar_instant_power
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,emon/resolDL2/sensor2
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,emon/resolDL2/sensor3
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,emon/shellyACS/tempACS
Android APP Bridge,931ae7ea951269b3,function,Gateway Energia,zara/android/domotica
Android APP Bridge,inbound_router_thermostats,function,Inbound Router Termostati,/target/set
Android APP Bridge,inbound_router_thermostats,function,Inbound Router Termostati,zara/android/domotica
Android APP Bridge,inbound_router_thermostats,function,Inbound Router Termostati,zara/domotics/AC/command
Android APP Bridge,inbound_router_thermostats,function,Inbound Router Termostati,zigbee2mqtt/Termostato_Bagnetto/set
Android APP Bridge,inbound_router_thermostats,function,Inbound Router Termostati,zigbee2mqtt/Termostato_Bagno/set
Android APP Bridge,outbound_router_thermostats,function,Outbound Router Termostati,casa/clima/stato_completo
Android APP Bridge,outbound_router_thermostats,function,Outbound Router Termostati,zara/android/domotica/thermostat/${targetRoom}/target/state
Android APP Bridge,outbound_router_thermostats,function,Outbound Router Termostati,zigbee2mqtt/Termostato_Bagnetto
Android APP Bridge,outbound_router_thermostats,function,Outbound Router Termostati,zigbee2mqtt/Termostato_Bagno
Android APP Bridge,6250ba4fd5d0e8f6,function,Inbound Router VMC,/esp8266/brink/fanspeed
Android APP Bridge,6250ba4fd5d0e8f6,function,Inbound Router VMC,zara/android/domotica
Android APP Bridge,40bbafe2b380d97f,function,Outbound Router VMC,alexa/vmc
Android APP Bridge,40bbafe2b380d97f,function,Outbound Router VMC,casa/clima/stato_completo
Android APP Bridge,40bbafe2b380d97f,function,Outbound Router VMC,zara/android/domotica/vmc/speed/state
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,${APP_BASE}/env/humBedroom
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,${APP_BASE}/env/humLiving
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,${APP_BASE}/env/humOutdoor
Android APP Bridge,ec7b23eb2a3e02e5,function,Gateway Ambienti,${APP_BASE}/env/tempBedroom
