scope,operation,variable,node_id,node_name,disabled
flow,set,AC_Winter_LastCommand,4d8e955d1ce128dd,flow.set AC_Winter_LastCommand,False
flow,get,AC_Winter_LastCommand,8ba4936278470454,flow.get AC_Winter_LastCommand,False
flow,set,produzione,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,consumo,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,powerwall_soc,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,temperatura,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,humidex_giorno,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,humidex_notte,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,temp_esterno,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,umidita_esterno,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,temp_cameraMatrimoniale,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_power,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,temp_esterno,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,umidita_esterno,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,ultimo_avvio,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,user_min_run_time,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,user_min_off_time,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,user_deficit_tolerance_time,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,user_vmc_max_notte,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,user_target_humidex_estate,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,user_emergency_humidex_away,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,produzione,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,consumo,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,powerwall_soc,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,powerwall_soc,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,temperatura,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,humidex_giorno,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,humidex_notte,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,temp_cameraMatrimoniale,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,ac_power,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,previsione_kwh_domani,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,previsione_data_domani,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,tutte_medie_storiche,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,efficienza_ricarica_storica,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,AI_climate_enabling,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,AI_climate_enabling,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,system_was_disabled,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,system_was_disabled,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,system_was_disabled,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,tentativi_riavvio_ac,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,tentativi_riavvio_ac,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,tentativi_riavvio_ac,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,AI_climate_enabling,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,tentativi_riavvio_ac,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_avvio,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_avvio,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,grace_period_time_range,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,grace_mode_solar,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,grace_mode_solar,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_avvio,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,ultimo_spegnimento_notte,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_avvio,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ultimo_spegnimento_notte,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,condizionatore_stato,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,set,ultimo_spegnimento,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,inizio_deficit_surplus,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,umidita_bedroom,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,umidita_living,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,vmc_ultimo_cambio_ms,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,vmc_velocita_inviata,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,vmc_ultimo_cambio_ms,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,vmc_velocita_inviata,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,vmc_fanspeed,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,ac_log_temp,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,ac_log_mode,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,log_ultimo_stato_ac,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,log_ultima_vmc,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,log_ultimo_stato_ac,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,log_ultima_vmc,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
global,get,app_base_topic,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,get,vmc_velocita_inviata,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,vmc_velocita_inviata,61992c8879c11f66,Machine Learning domotico locale ad alta precisione,False
flow,set,previsione_kwh_domani,e987e367138f30ef,function 22,False
flow,set,previsione_kwh_domani,e987e367138f30ef,function 22,False
flow,set,previsione_data_domani,e987e367138f30ef,function 22,False
flow,set,consumo_istantaneo_registratore,5eef15f00d7a6c51,Registrazione consumi ML,False
flow,set,produzione_istantanea_registratore,5eef15f00d7a6c51,Registrazione consumi ML,False
flow,get,consumo_istantaneo_registratore,5eef15f00d7a6c51,Registrazione consumi ML,False
flow,get,produzione_istantanea_registratore,5eef15f00d7a6c51,Registrazione consumi ML,False
flow,set,tutte_medie_storiche,5eef15f00d7a6c51,Registrazione consumi ML,False
flow,set,efficienza_ricarica_storica,5eef15f00d7a6c51,Registrazione consumi ML,False
flow,set,condizionatore_stato,249be69cffcb1f5f,function 30,True
flow,set,AI_climate_enabling,5297875258c91adf,Salva Stato su File,True
global,get,ir_dictionary,aca24c631dec754b,AC Controller & Parser,False
global,get,user_min_run_time,2796fd499f6b3ae2,Recupero Variabili File System per UI,False
global,get,user_min_off_time,2796fd499f6b3ae2,Recupero Variabili File System per UI,False
global,get,user_target_humidex_estate,2796fd499f6b3ae2,Recupero Variabili File System per UI,False
global,get,user_vmc_max_notte,2796fd499f6b3ae2,Recupero Variabili File System per UI,False
global,get,user_deficit_tolerance_time,2796fd499f6b3ae2,Recupero Variabili File System per UI,False
flow,get,AI_climate_enabling,2796fd499f6b3ae2,Recupero Variabili File System per UI,False
global,set,grace_mode_solar,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,user_emergency_humidex_away,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,user_min_run_time,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,user_min_off_time,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,user_target_humidex_estate,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,user_vmc_max_notte,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,user_deficit_tolerance_time,18cd61655da131ad,Gestore Impostazioni UI & Android,False
flow,set,AI_climate_enabling,18cd61655da131ad,Gestore Impostazioni UI & Android,False
flow,set,system_was_disabled,18cd61655da131ad,Gestore Impostazioni UI & Android,False
global,set,grace_mode_solar,5188761e59169fdc,Salva modalita ,True
global,set,user_emergency_humidex_away,337ad3eb52fe5d9c,function 28,True
global,set,user_deficit_tolerance_time,0f8b4e9cfb64bb9a,global.user_deficit_tolerance_time al valore 20,False
flow,set,produzione,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,consumo,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,powerwall_soc,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,temperatura,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,humidex_giorno,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,humidex_notte,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,temp_esterno,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,umidita_esterno,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,temp_cameraMatrimoniale,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,set,ac_power,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,get,temp_esterno,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,get,umidita_esterno,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
flow,get,condizionatore_stato,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
global,get,ultimo_avvio,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
global,get,ultimo_spegnimento,ea54c259689cd3c1,Machine Learning domotico locale ad alta precisione,False
