node_id,type,name,topic,disabled,x,y,wired_inputs,wired_outputs
5dfcc0757cb95c35,RM,Broadlink Sender,,False,950,40,1,0
2b14d96a05d61526,link in,AC 25 dry eco,,False,225,80,0,1
b0a555b2eb467bb2,change,Forza eco25dry,,False,380,80,1,1
aca24c631dec754b,function,AC Controller & Parser,,False,680,80,4,2
5995cac53851d83d,link in,AC 26 dry,,False,225,120,0,1
bb898269481b9a93,change,Forza eco26dry,,False,380,120,1,1
e71747aa1eb36dbb,mqtt out,EmonCMS Setpoint,emon/AC/command,False,950,120,1,0
bc24db62da87d201,function,AC Controller & Parser,,False,660,140,0,0
76429272fe9a2e44,link in,AC off,,False,225,160,0,1
2a6c7ae912516551,change,Forza OFF,,False,370,160,1,1
b3513e59ea2aff51,mqtt in,MQTT Clima Comando,zara/domotics/AC/command,False,320,220,0,1
ab7d6c30422ecc82,mqtt in,EmonCMS Setpoint,emon/AC/command,False,230,380,0,1
4d8e955d1ce128dd,function,flow.set AC_Winter_LastCommand,,False,560,380,1,0
ec51705040476c04,inject,ogni 1 minuti,,False,280,440,0,1
8ba4936278470454,function,flow.get AC_Winter_LastCommand,,False,560,440,1,1
e881e9441da96819,mqtt out,EmonCMS Setpoint,emon/AC/command,False,910,440,1,0
19dd000abb51d333,comment,START - AI Gemini code for controlling AC,,False,280,500,0,0
5eef15f00d7a6c51,function,Registrazione consumi ML,,False,740,540,2,1
c18340e5e78b0f20,json,json,,False,1010,540,1,1
dd04905161a99080,file,file,,False,1300,540,1,0
3d009f9701cfbcad,mqtt in,MQTT Potenza Casa (Load W),TeslaPowerwall/load_instant_power,False,290,620,0,2
aa9bad7c1fd25c9e,mqtt in,MQTT Potenza Produzione FV (FV W),TeslaPowerwall/solar_instant_power,False,270,660,0,2
83d185b0177f6834,change,change,,False,1340,680,1,1
6ef6713e949f314d,mqtt out,MQTT Clima Comando,zara/domotics/AC/command,False,1570,680,1,0
4c010ca56b63a35a,mqtt in,zigbee2mqtt/TU-cucinaEsterno,zigbee2mqtt/TU-cucinaEsterno,False,290,700,0,1
5d5092c20b221701,mqtt out,casa/clima/stato_completo,casa/clima/stato_completo,False,1580,720,1,0
21d6585848d13e87,mqtt in,MQTT SOC Batt,TeslaPowerwall/SOE,False,340,740,0,1
211aa45d39e85052,mqtt out,alexa/vmc,alexa/vmc,False,1520,760,1,0
4f51be0bb2407353,mqtt in,MQTT temperatura living,emon/emonth5/temperature_calibrated,False,310,780,0,1
2e8c56cc6b84b54d,switch,switch,,False,590,780,10,1
61992c8879c11f66,function,Machine Learning domotico locale ad alta precisione,,False,900,780,1,9
9174f8e2f9a59d15,mqtt out,zara/domotics/clima_log_eventi,zara/domotics/clima_log_eventi,False,1590,800,1,0
a9439746b542f7aa,mqtt in,MQTT temperatura camera matrimoniale,emon/cameraMatrimoniale/temperature,False,260,820,0,1
3b41a6b4894b81f3,json,json,,False,1290,840,1,1
80d9202afcddf612,file,file,,False,1610,840,1,0
9b107edb60e160c7,mqtt in,MQTT AC Power,emon/AC/emeter_power,False,340,860,0,1
bd8f422a0d46006f,function,Machine Learning domotico locale ad alta precisione,,False,860,880,0,0
e6d567a073b356b9,change,AC / Heat Pump,,False,1320,880,1,1
d0011545aa353cc0,ui_template,ui_template,,False,1680,880,1,0
4cb939ccb3e11c7f,mqtt in,MQTT living humidex,zara/domotics/LivingHumidex,False,320,900,0,2
96e723769e300aec,function,Machine Learning domotico locale ad alta precisione,,False,880,900,0,0
