node_id,type,name,topic,disabled,wired_inputs,wired_outputs,x,y
5b75b9e882dcebfb,inject,inject,,False,0,1,120,60
ad2a868186bbe8b6,function,function 29,,False,1,0,450,60
8c073d7419d1dffd,mqtt out,Esecuzione Hardware,,True,1,0,1560,100
922c37cd6061d20d,link out,living lamp,,False,1,0,2665,100
42c039cfb62a43a2,mqtt in,mqtt in,,False,1,1,90,140
029b611c762d7219,function,Inbound Router Luci,,False,1,3,1300,140
a89af6972dad9174,switch,switch,,False,1,11,2050,140
6122f365974f8e81,link out,libreria lamp,,False,1,0,2665,140
ef9798fe30ae6866,function,App Main Router,,False,1,4,450,160
a2dee99a8aabfa65,link out,acqua piscina,,False,1,0,2665,180
32cee04caba8f08c,link out,pedana piscina,,False,1,0,2665,220
89954a9f76c30a86,link out,skimmer piscina,,False,1,0,2775,240
43e23783c7995259,link out,ingresso secondario lamp,,False,1,0,2665,260
7791ad427b6f5f1c,link out,pompa                  piscina,,False,1,0,2775,280
84c3df06feb9b407,link out,reading lamp,,False,1,0,2665,300
30036127a21d4c88,mqtt in,App -> Comando Scene Luci,zara/android/domotica/scene/set,True,0,1,880,320
70eb35fe1afd6ca1,change,change,,False,2,1,1740,320
ab5a8128c40101c8,switch,switch,,False,1,4,2050,320
ab8e8c591cefc337,function,Configurazione Sottoscrizione Dinamica,,False,1,1,300,340
15807337bbd41c74,link out,tv lamp,,False,1,0,2665,340
24d6cff0d9066ef9,link out,portico lamp,,False,1,0,2665,380
e013eff044c3181f,link out,lavanderia lamp,,False,1,0,2665,420
a0d11861533edef2,link in,app_base_topic,,False,0,1,145,560
5d2d6ba3ad4c3262,mqtt in,zara/domotics/lights/readinglight,zara/domotics/lights/readinglight,False,0,1,890,560
ba0948194022d617,mqtt in,Ascolto Hardware Reale,zigbee2mqtt/+,False,0,1,890,640
b49453f6cdbbab3d,mqtt in,zara/domotics/lights/livinglamp,zara/domotics/lights/livinglamp,False,0,1,880,700
adc28b24d02d7375,link out,tv mode,,False,1,0,2655,700
