node_id,widget_type,ui_tab,ui_group,label,topic,min,max,step,downstream
da2e1f45.33e288,ui_switch,Illuminazione,Illuminazione,Sala,,,,,living lamp | va bene . accendo le luci della sala
ad32e56b.84cfe,ui_switch,Illuminazione,Illuminazione,Libreria,,,,,shelf lamp | va bene . accendo le luci in libreria
7a84beaa.30de78,ui_switch,Illuminazione,Illuminazione,Televisione,,,,,tv lamp | va bene . accendo la lampada televisione
52266b5f.aec394,ui_slider,VMC,VMC,,,1,4,1,va bene .  velocità ventilazione impostata | vmc fanspeed
b2d18fc6.b31b28,ui_switch,Impianti Termici,Termo Focolare,{{msg.topic}},,,,,fireplace | switch
f8704c83.c71d3,ui_slider,Impianti Termici,Termo Focolare,,,1,6,1,"fireplace | va bene, regolo la potenza del caminetto a"
71aeaed6.a4d5b8,ui_button,Illuminazione,Illuminazione,TV Mode,,,,,tv mode | va bene . attivo modalità televisione
53b3ae4.c08ccd,ui_button,Illuminazione,Illuminazione,Sleep Mode,,,,,sleep mode | va bene . attivo modalità buio notte
571e702d.9d50f,ui_numeric,Impianti Termici,Raffrescamento,Auto,,23,25,1,"va bene, regolo la temperatura dell'aria condizionata a | ac"
b0585e6a.102df8,ui_numeric,Impianti Termici,Pompa Calore,Eco,,16,22,1,"va bene, regolo la temperatura della pompa di calore a | heat pump"
6a5b9988.ef37d,ui_switch,Impianti Termici,Pompa Calore,{{msg.topic}},,,,,switch | heat pump
6b9c0d86.28690c,ui_switch,Impianti Termici,Raffrescamento,{{msg.topic}},,,,,switch | ac
669bf54a.91031c,ui_switch,Impianti Termici,Caldaia Gas,{{msg.topic}},,,,,
117544a9.1ec7cb,ui_switch,Impianti Termici,Pompa Pavimento,{{msg.topic}},,,,,
a52920f.8a0476,ui_button,Illuminazione,Illuminazione,Tutte accese,,,,,all lights on | va bene . accendo tutte le luci
e5c6a02.cf0d46,ui_button,Illuminazione,Illuminazione,Tutte spente,,,,,va bene . spengo tutte le luci | all lights off
b60e2fe7.7ab5d,ui_switch,Piscina,Piscina,Luci Pedana,,,,,va bene . accendo le luci della pedana della piscina | pool floor
cd1ccb1e.905148,ui_switch,Piscina,Piscina,Luci Piscina,,,,,va bene . accendo le luci della piscina | pool light
c271f396.13951,ui_switch,Piscina,Piscina,Skimmer,,,,,va bene . accendo lo skimmer della piscina | pool skimmer
56cc08d8.9817a8,ui_switch,Piscina,Piscina,Pompa Filtro,,,,,va bene . accendo la pompa filtro della piscina | pool pump
935580ba.7a1ab,ui_switch,Illuminazione,Illuminazione,Alarm,,,,,alarm lamp
f411d570.e8603,ui_dropdown,Impianti Termici,Termo Focolare,Modalità,,,,,zara/domotics/palazzetti/modalita
71df72.4af1f09,ui_numeric,Impianti Termici,Termo Focolare,Ora avvio,,0,24,1,function
8a7f1773.ada928,ui_numeric,Impianti Termici,Termo Focolare,Min avvio,,0,45,15,function
31fd687b.0377c8,ui_numeric,Impianti Termici,Termo Focolare,Ora spegnimento,,0,24,1,function
18d604a7.feec63,ui_numeric,Impianti Termici,Termo Focolare,Min spegnimento,,0,45,15,function
a0b2b287.eaf528,ui_switch,Illuminazione,Illuminazione,Lavanderia,,,,,luce lavanderia
