node_id,type,name,topic,group_id,disabled,wired_inputs,wired_outputs,x,y
7cc35f13028d320b,ui_spacer,spacer,,cb9fc429ce2122c2,False,0,0,,
c0c8b1fef5a96e04,ui_spacer,spacer,,cb9fc429ce2122c2,False,0,0,,
8a7ea2ab5ebee693,ui_spacer,spacer,,48196d137af1665e,False,0,0,,
1cd96cb0c358e6d8,ui_spacer,spacer,,48196d137af1665e,False,0,0,,
8aa981ccbe24b4ad,ui_spacer,spacer,,945edaef9a208643,False,0,0,,
e0f43d4aa1a32fb3,ui_spacer,spacer,,945edaef9a208643,False,0,0,,
c4779277.322ff8,ui_template,Clock Toolbar,,964f674b220c5b67,True,0,0,140,20
45d314fcacd88210,mqtt in,shellies/shelly1-771284/relay/0,shellies/shelly1-771284/relay/0,,False,0,0,230,40
b97bc1c0.cb899,ui_template,Clock Toolbar,,c982fbb8.1deb38,False,0,0,140,60
defc514c59ae12fb,link call,call alexa speak,,,False,1,0,1100,80
f4f2bfdda005961c,ui_switch,Lampada HiFi,cmnd/tasmota_86AD14/POWER,e9c5dc64.9d6d28,False,0,1,680,180
0cfe277a93d1cd75,mqtt out,TasmotaLampadaHifi,cmnd/tasmota_86AD14/POWER,,False,1,0,1080,180
d694fd2e2b456420,mqtt in,zara/domotics/lights/readinglight,zara/domotics/lights/readinglight,,False,0,1,190,220
d17c748ec892c494,ui_switch,Tavolino lettura,,e9c5dc64.9d6d28,False,1,1,680,220
dbe9efe6cb7e4b41,link out,reading lamp,,,False,1,0,895,220
5dc51dac.197b0c,mqtt in,shellies/shelly1-98F4ABF294D7/relay/0,shellies/shelly1-98F4ABF294D7/relay/0,,False,0,1,210,260
7d047340.054a54,rbe,rbe,,,False,1,1,470,260
109744d2.bd61ab,ui_switch,Bagno,,e9c5dc64.9d6d28,True,1,1,650,260
30358ed.8c33b72,link out,bagno,,,False,1,0,895,260
135da1cb.992dc6,mqtt in,shellies/shelly1-771284/relay/0,shellies/shelly1-771284/relay/0,,False,0,1,190,300
153df7fc.c0c5,rbe,rbe,,,False,1,1,470,300
2f7737f3.e2ff58,ui_switch,Portico Ingresso,,e9c5dc64.9d6d28,False,1,1,680,300
e051d71a.90b038,link out,portico ingresso,,,False,1,0,895,300
91f56f2b.a00b28,mqtt in,shellies/shelly1-B8B350/relay/0,shellies/shelly1-B8B350/relay/0,,False,0,1,190,340
af504cd8.7d0d38,rbe,rbe,,,False,1,1,470,340
