id,name,tab,literal_topics,application_suffixes,disabled
029b611c762d7219,Inbound Router Luci,Android APP Bridge,/light/ ; /scene/set ; /set ; ^${baseTopic}/light/([^/]+)/set$ ; shellies/shelly1-esterno/relay/0/command ; zara/android/domotica ; zigbee2mqtt/Luce_Cucina/set,light/([^/]+,false
b5960f2b4677e29c,Outbound Router Luci,Android APP Bridge,${baseTopic}/light/${targetDevice}/state ; shellies/shelly1-771284/relay/0 ; shellies/shelly1-B8C284/relay/0 ; shellies/shelly1-B92AF0/relay/0 ; shellies/shelly1-esterno ; zara/android/domotica ; zara/domotics/lights/livinglamp ; zara/domotics/lights/poolfloor ; zara/domotics/lights/poollight ; zara/domotics/lights/poolpump ; zara/domotics/lights/poolskimmer ; zara/domotics/lights/readinglight ; zara/domotics/lights/shelflamp ; zara/domotics/lights/tvlamp ; zigbee2mqtt/Luce_Cucina ; zigbee2mqtt/Luce_Libreria,light/${targetDevice}/state,false
966f722b97b6dfd5,Gateway Energia,Android APP Bridge,${APP_BASE}/acsPufferTemp ; ${APP_BASE}/energy/battery ; ${APP_BASE}/energy/consumption ; ${APP_BASE}/energy/grid ; ${APP_BASE}/energy/production ; ${APP_BASE}/energy/surplus ; ${APP_BASE}/pufferAltoTemp ; ${APP_BASE}/pufferBassoTemp ; TeslaPowerwall/SOE ; TeslaPowerwall/load_instant_power ; TeslaPowerwall/site_instant_power ; TeslaPowerwall/solar_instant_power ; emon/resolDL2/sensor2 ; emon/resolDL2/sensor3 ; emon/shellyACS/tempACS ; zara/android/domotica,acsPufferTemp ; energy/battery ; energy/consumption ; energy/grid ; energy/production ; energy/surplus ; pufferAltoTemp ; pufferBassoTemp,false
bd8d66b09aae991f,Inbound Router Termostati,Android APP Bridge,^${baseTopic}/thermostat/([^/]+)/target/set$ ; zara/android/domotica ; zara/domotics/AC/command ; zigbee2mqtt/Termostato_Bagnetto/set ; zigbee2mqtt/Termostato_Bagno/set,thermostat/([^/]+,false
fc51aac30db89430,Outbound Router Termostati,Android APP Bridge,${baseTopic}/thermostat/${targetRoom}/target/state ; casa/clima/stato_completo ; zara/android/domotica ; zigbee2mqtt/Termostato_Bagnetto ; zigbee2mqtt/Termostato_Bagno,thermostat/${targetRoom}/target/state,false
893cab22b022f9f7,Inbound Router VMC,Android APP Bridge,/esp8266/brink/fanspeed ; ^${baseTopic}/vmc/([^/]+)/set$ ; zara/android/domotica,vmc/([^/]+,false
cb6b6b6eff77245e,Outbound Router VMC,Android APP Bridge,${baseTopic}/vmc/speed/state ; alexa/vmc ; casa/clima/stato_completo ; zara/android/domotica,vmc/speed/state,false
84374abab73c53ba,Gateway Ambienti,Android APP Bridge,${APP_BASE}/env/humBedroom ; ${APP_BASE}/env/humLiving ; ${APP_BASE}/env/humOutdoor ; ${APP_BASE}/env/humidexBedroom ; ${APP_BASE}/env/humidexLiving ; ${APP_BASE}/env/tempBedroom ; ${APP_BASE}/env/tempLiving ; ${APP_BASE}/env/tempOutdoor ; emon/cameraMatrimoniale/humidex ; emon/cameraMatrimoniale/humidity ; emon/cameraMatrimoniale/temperature ; emon/emonth5/humidex ; emon/emonth5/humidity ; emon/emonth5/temperature_calibrated ; zara/android/domotica ; zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale ; zigbee2mqtt/Sonoff AirGuard TH esterno cucina,env/humBedroom ; env/humLiving ; env/humOutdoor ; env/humidexBedroom ; env/humidexLiving ; env/tempBedroom ; env/tempLiving ; env/tempOutdoor,false
01283d5864cde9b4,Inbound Router Settaggi,Android APP Bridge,${baseTopic}/system/ac_auto/set ; ${baseTopic}/system/enabled/state ; ${baseTopic}/system/holiday/set ; ${baseTopic}/system/luci_eco/set ; ${baseTopic}/system/luci_piscina_auto/set ; ${baseTopic}/system/sensore_portico/set ; ${baseTopic}/system/time_range/set ; ${baseTopic}/vmc/maxNightSpeed/state ; zara/android/domotica,system/ac_auto/set ; system/enabled/state ; system/holiday/set ; system/luci_eco/set ; system/luci_piscina_auto/set ; system/sensore_portico/set ; system/time_range/set ; vmc/maxNightSpeed/state,false
ef9798fe30ae6866,App Main Router,Android APP Bridge,/light/ ; /maxNightSpeed/set ; /scene/ ; /thermostat/ ; /vmc/ ; zara/android/domotica,,false
ad2a868186bbe8b6,function 29,Android APP Bridge,zara/android/domotica,,false
cf899af1e8162086,Outbound Router Settaggi,Android APP Bridge,${baseTopic}/system/ac_auto/state ; ${baseTopic}/system/holiday/state ; ${baseTopic}/system/luci_eco/state ; ${baseTopic}/system/luci_piscina_auto/state ; ${baseTopic}/system/sensore_portico/state ; ${baseTopic}/system/set ; ${baseTopic}/system/time_range/state ; ${baseTopic}/vmc/maxNightSpeed/set ; casa/clima/cmnd/AI_climate_enabling ; casa/clima/stat/vmc_max_notte ; zara/android/domotica ; zara/domotics/ACAuto ; zara/domotics/luciECO ; zara/domotics/luciPiscinaAuto ; zara/domotics/modalitavacanza ; zara/domotics/porch_sensor ; zara/domotics/time_range,system/ac_auto/state ; system/holiday/state ; system/luci_eco/state ; system/luci_piscina_auto/state ; system/sensore_portico/state ; system/set ; system/time_range/state ; vmc/maxNightSpeed/set,false
d433e0dab61b2778,function 32,Android APP Bridge,,,false
