id,type,tab,name,disabled,topic,qos,retain,broker_name,broker_host,broker_port,outputs,wire_targets
684cf25501f3e8a6,tab,,Android APP Bridge,false,,,,,,,,
6122f365974f8e81,link out,Android APP Bridge,libreria lamp,false,,,,,,,,
029b611c762d7219,function,Android APP Bridge,Inbound Router Luci,false,,,,,,,2,"8c073d7419d1dffd,70eb35fe1afd6ca1,a89af6972dad9174"
8c073d7419d1dffd,mqtt out,Android APP Bridge,Esecuzione Hardware,true,,1,false,domopi mqtt,192.168.1.20,1883,,
ba0948194022d617,mqtt in,Android APP Bridge,Ascolto Hardware Reale,false,zigbee2mqtt/+,1,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
b5960f2b4677e29c,function,Android APP Bridge,Outbound Router Luci,false,,,,,,,1,e21a5bab7aaa539f
e21a5bab7aaa539f,mqtt out,Android APP Bridge,Aggiorna Stato App (Retain),false,,1,true,domopi mqtt,192.168.1.20,1883,,
966f722b97b6dfd5,function,Android APP Bridge,Gateway Energia,false,,,,,,,1,e21a5bab7aaa539f
bd8d66b09aae991f,function,Android APP Bridge,Inbound Router Termostati,false,,,,,,,1,e21a5bab7aaa539f
ac1dc3384afb5a6b,mqtt in,Android APP Bridge,Ascolto Stato AI e TRV,false,casa/clima/stato_completo,1,,domopi mqtt,192.168.1.20,1883,,fc51aac30db89430
fc51aac30db89430,function,Android APP Bridge,Outbound Router Termostati,false,,,,,,,1,e21a5bab7aaa539f
893cab22b022f9f7,function,Android APP Bridge,Inbound Router VMC,false,,,,,,,1,cbd2fb713ffc6cb0
cbd2fb713ffc6cb0,link out,Android APP Bridge,link out 6,false,,,,,,,,
cb6b6b6eff77245e,function,Android APP Bridge,Outbound Router VMC,false,,,,,,,1,e21a5bab7aaa539f
5268685dd658fbe0,mqtt in,Android APP Bridge,App -> Target VMC,false,alexa/vmc,1,,emoncms mqtt,192.168.1.15,1883,,cb6b6b6eff77245e
922c37cd6061d20d,link out,Android APP Bridge,living lamp,false,,,,,,,,
15807337bbd41c74,link out,Android APP Bridge,tv lamp,false,,,,,,,,
32cee04caba8f08c,link out,Android APP Bridge,pedana piscina,false,,,,,,,,
a2dee99a8aabfa65,link out,Android APP Bridge,acqua piscina,false,,,,,,,,
84c3df06feb9b407,link out,Android APP Bridge,reading lamp,false,,,,,,,,
24d6cff0d9066ef9,link out,Android APP Bridge,portico lamp,false,,,,,,,,
e013eff044c3181f,link out,Android APP Bridge,lavanderia lamp,false,,,,,,,,
43e23783c7995259,link out,Android APP Bridge,ingresso secondario lamp,false,,,,,,,,
a89af6972dad9174,switch,Android APP Bridge,a89af6972dad9174,false,,,,,,,12,"922c37cd6061d20d,6122f365974f8e81,a2dee99a8aabfa65,32cee04caba8f08c,89954a9f76c30a86,43e23783c7995259,7791ad427b6f5f1c,84c3df06feb9b407,15807337bbd41c74,24d6cff0d9066ef9,e013eff044c3181f"
b49453f6cdbbab3d,mqtt in,Android APP Bridge,b49453f6cdbbab3d,false,zara/domotics/lights/livinglamp,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
8e3fcbfc031083cc,mqtt in,Android APP Bridge,8e3fcbfc031083cc,false,zara/domotics/lights/shelflamp,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
f169b915a19f8af6,mqtt in,Android APP Bridge,f169b915a19f8af6,false,zara/domotics/lights/tvlamp,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
118da562063f2d9a,mqtt in,Android APP Bridge,118da562063f2d9a,false,shellies/shelly1-771284/relay/0,2,,emoncms mqtt,192.168.1.15,1883,,b5960f2b4677e29c
3f0b0e50b51f8568,mqtt in,Android APP Bridge,3f0b0e50b51f8568,false,shellies/shelly1-B92AF0/relay/0,2,,emoncms mqtt,192.168.1.15,1883,,b5960f2b4677e29c
e338f28f56433e4c,mqtt in,Android APP Bridge,e338f28f56433e4c,false,shellies/shelly1-B8C284/relay/0,2,,emoncms mqtt,192.168.1.15,1883,,b5960f2b4677e29c
c5fbbdc4bdf7fbe0,mqtt in,Android APP Bridge,c5fbbdc4bdf7fbe0,false,zara/domotics/lights/poollight,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
3174da2bdd10ea30,mqtt in,Android APP Bridge,3174da2bdd10ea30,false,zara/domotics/lights/poolfloor,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
3f8fefa8f0d98ffd,mqtt in,Android APP Bridge,3f8fefa8f0d98ffd,false,zara/domotics/lights/poolskimmer,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
04eee2d096fc8523,mqtt in,Android APP Bridge,04eee2d096fc8523,false,zara/domotics/lights/poolpump,2,,domopi mqtt,192.168.1.20,1883,,b5960f2b4677e29c
7791ad427b6f5f1c,link out,Android APP Bridge,pompa                  piscina,false,,,,,,,,
89954a9f76c30a86,link out,Android APP Bridge,skimmer piscina,false,,,,,,,,
30036127a21d4c88,mqtt in,Android APP Bridge,App -> Comando Scene Luci,true,zara/android/domotica/scene/set,2,,domopi mqtt,192.168.1.20,1883,,70eb35fe1afd6ca1
ab5a8128c40101c8,switch,Android APP Bridge,ab5a8128c40101c8,false,,,,,,,4,"adc28b24d02d7375,38205514f8536bf7,215bafdadd7f6f24,945dbfd0acff705d"
adc28b24d02d7375,link out,Android APP Bridge,tv mode,false,,,,,,,,
38205514f8536bf7,link out,Android APP Bridge,sleep mode,false,,,,,,,,
215bafdadd7f6f24,link out,Android APP Bridge,tutte luci on,false,,,,,,,,
945dbfd0acff705d,link out,Android APP Bridge,tutte luci off,false,,,,,,,,
70eb35fe1afd6ca1,change,Android APP Bridge,70eb35fe1afd6ca1,false,,,,,,,,ab5a8128c40101c8
c8bf45a2bc859241,mqtt in,Android APP Bridge,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,false,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,2,,emoncms mqtt,192.168.1.15,1883,,84374abab73c53ba
69d0e373d832b240,mqtt in,Android APP Bridge,MQTT SOC Batt,false,TeslaPowerwall/SOE,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
