severity,component,kind,token,file,line,yaml_path,context,decision,notes
HIGH,Configuration,mqtt_topic,casa/clima/stato_completo,config/mqtt/application-contract-v1.json,387,climate.ac_master.mode.legacy.confirmation.topic,"""pattern"": ""casa/clima/stato_completo"",",,
HIGH,Configuration,mqtt_topic,casa/clima/stato_completo,config/mqtt/climate-shadow-mapping-v1.json,104,climate.ac_master.mode.legacy.confirmation.topic,"""source"": ""casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,config/nodered/bridge-v2-readonly-plan.json,8,brokers.home.host,"""host"": ""192.168.1.20"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,config/nodered/bridge-v2-readonly-plan.json,12,brokers.emon.host,"""host"": ""192.168.1.15"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stat/vmc_max_notte,config/nodered/bridge-v2-readonly-plan.json,51,settings.climate.vmc_max_night.legacy.confirmation.topic,"""sourceTopic"": ""casa/clima/stat/vmc_max_notte"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,config/nodered/bridge-v2-readonly-plan.json,63,climate.ac_master.mode.legacy.confirmation.topic,"""sourceTopic"": ""casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.20,config/nodered/bridge-v2-readonly-plan.json,64,brokers.home.host,"""sourceBroker"": ""192.168.1.20:1883"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,config/nodered/bridge-v2-readonly-plan.json,65,climate.ac_master.mode.legacy.confirmation.topic,"""destinationSuffix"": ""casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,mqtt_topic,casa/clima/stato_completo,config/nodered/bridge-v2-readonly-plan.json,66,climate.ac_master.mode.legacy.confirmation.topic,"""destinationTopicTemplate"": ""${canaryBaseTopic}/casa/clima/stato_completo"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/emonth5/humidex,config/nodered/bridge-v2-readonly-plan.json,111,env.living.humidex.legacy.source.topic,"""sourceTopic"": ""emon/emonth5/humidex"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,config/nodered/bridge-v2-readonly-plan.json,136,brokers.emon.host,"""sourceBroker"": ""192.168.1.15:1883"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/SOE,config/nodered/bridge-v2-readonly-plan.json,267,energy.battery.soc.legacy.source.topic,"""sourceTopic"": ""TeslaPowerwall/SOE"",",,
HIGH,Gateway / Node-RED,mqtt_topic,TeslaPowerwall/solar_instant_power,config/nodered/bridge-v2-readonly-plan.json,303,energy.solar.power.legacy.source.topic,"""sourceTopic"": ""TeslaPowerwall/solar_instant_power"",",,
HIGH,Gateway / Node-RED,mqtt_topic,emon/focolare/powerraw,config/nodered/bridge-v2-readonly-plan.json,375,fireplace.main.level.legacy.confirmation.topic,"""sourceTopic"": ""emon/focolare/powerraw"",",,
HIGH,Gateway / Node-RED,broker_host,192.168.1.15,config/nodered/bridge-v2-readonly-plan.json,424,brokers.emon.host,"""sourceBroker"": ""192.168.1.15:1883"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/livinglamp,config/nodered/bridge-v2-readonly-plan.json,495,lights.living.power.legacy.source.topic,"""sourceTopic"": ""zara/domotics/lights/livinglamp"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolpump,config/nodered/bridge-v2-readonly-plan.json,531,pool.pump.power.legacy.source.topic,"""sourceTopic"": ""zara/domotics/lights/poolpump"",",,
HIGH,Gateway / Node-RED,mqtt_topic,zara/domotics/lights/poolskimmer,config/nodered/bridge-v2-readonly-plan.json,543,pool.skimmer.power.legacy.source.topic,"""sourceTopic"": ""zara/domotics/lights/poolskimmer"",",,
